"slug";"name";"website";"country";"city";"ror";"lat";"lon";"type";"is_tenant";"software_count";"project_count";"logo"
"fast-data-science-ltd";"Fast Data Science Ltd";"https://fastdatascience.com/";;;;;;;"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=44520c7a5a4313eaaa5641abbd51663dfc8387b7"
"jive";"JIVE";;"Netherlands";"Dwingeloo";"https://ror.org/006dmc180";52.813351;6.395999;"Other";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=087972d3e78dfd9bca0db9cadcba0db225eca4b6"
"nederlands-mijnmuseum";"Nederlands Mijnmuseum";"https://www.nederlandsmijnmuseum.nl/";"Netherlands";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=925e7bd9bb0273dc7d21420da3c62c23a33f8b4c"
"thermo-fisher-scientific-netherlands";"Thermo Fisher Scientific (Netherlands)";"https://www.thermofisher.com/";"Netherlands";"Eindhoven";"https://ror.org/01139ec29";51.46908;5.42141;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=ba1a1d77bf33bec7c12643074d1e66a2a0b6a2dd"
"zefiros-software";"Zefiros Software";"https://zefiros.eu/";"Netherlands";;;;;;"no";1;0;"https://research-software-directory.org/image/rpc/get_image?uid=4ae85a1ae95858d33c28ecb3ba31b0674328733b"
"quantum-application-lab";"Quantum Application Lab";"https://quantumapplicationlab.com/";;;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=6ce15af7acbae58b860245be88e6aa8b1955560e"
"digital-methods-initiative";"Digital Methods Initiative";"https://digitalmethods.net";;;;;;;"no";2;0;"https://research-software-directory.org/image/rpc/get_image?uid=df75edb73be9750c669ba0b4f33b4caecdd849e6"
"max-planck-society";"Max Planck Society";"http://www.mpg.de/en";"Germany";"Munich";"https://ror.org/01hhn8329";48.13743;11.57549;"Nonprofit";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=ed50bb46311f2bdedf8a66b5d736a201ccee4c8e"
"university-of-lapland";"University of Lapland";"http://www.ulapland.fi/InEnglish";"Finland";"Rovaniemi";"https://ror.org/05jzt8766";66.5;25.71667;"Education";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=9f480af3727ad0551cd825b11a7ddd823d5f4a47"
"nationaal-archief-of-the-netherlands";"Nationaal Archief of the Netherlands";"http://www.nationaalarchief.nl/";"Netherlands";"The Hague";"https://ror.org/0546dmt59";52.081475;4.326382;"Archive";"no";0;0;
